City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
425,Xiangxiang,CN,66.29,overcast clouds,27.73,112.53,Huatai International Hotel
427,Louis Trichardt,ZA,61.25,broken clouds,-23.04,29.9,139 on Munnik Guest House
428,Daru,PG,83.66,overcast clouds,-9.08,143.21,Daru Lodge
429,Kifri,IQ,79.99,overcast clouds,34.7,44.97,Layla jasm
430,Nelson Bay,AU,69.1,overcast clouds,-32.72,152.15,Mantra Nelson Bay
431,Piranhas,BR,73.36,overcast clouds,-16.43,-51.82,Hotel Brasil
434,Lagoa,PT,70.21,overcast clouds,39.05,-27.98,Casa Das Faias
435,Sao Raimundo Nonato,BR,82.06,scattered clouds,-9.02,-42.7,Real Hotel
437,Manggar,ID,83.93,heavy intensity rain,-2.88,108.27,Guest Hotel
439,Multan,PK,66.09,smoke,30.2,71.48,Fairmont Hotel & Restaurant
440,Chauk,MM,75.11,clear sky,20.88,94.82,Bo Khin Guest House
441,La Romana,DO,80.33,few clouds,18.43,-68.97,Casa de Campo Resort and Villas
444,Marawi,PH,71.65,broken clouds,8.0,124.29,Derogongan Residence
446,Copacabana,CO,68.0,overcast clouds,6.35,-75.51,Hospedaje Brazil
449,Acarau,BR,79.99,scattered clouds,-2.89,-40.12,castelo pizzaria
450,Marovoay,MG,71.74,clear sky,-16.1,46.63,Hôtel les Oliviers Marovoay
451,Sampit,ID,77.79,overcast clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
452,Sabang,ID,81.28,moderate rain,5.89,95.32,Hotel Citra
453,Tandalti,SD,89.67,broken clouds,13.02,31.87,منزل : الهادي محمد مساعد
454,Grand Gaube,MU,70.38,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
455,Ikom,NG,74.34,overcast clouds,5.97,8.71,Reho Farm & Resort
456,Benghazi,LY,71.74,broken clouds,32.12,20.07,Tibesti Hotel
457,Pitimbu,BR,79.39,few clouds,-7.47,-34.81,Reserva do Abiaí
460,Lima,PE,64.9,broken clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
461,Taltal,CL,62.8,few clouds,-25.4,-70.48,Residencial Karime
462,Saint Marys,US,62.62,clear sky,30.73,-81.55,Spencer House Inn
463,Nhulunbuy,AU,90.21,scattered clouds,-12.23,136.77,East Arnhem Real Estate
467,Molave,PH,81.64,overcast clouds,8.08,123.49,Rielena Plaza Hotel and Suites
468,Kaithal,IN,65.59,clear sky,29.8,76.38,Koel Complex
470,Muisne,EC,74.86,scattered clouds,0.6,-80.03,Quinta Samay
471,Ohara,JP,63.95,moderate rain,35.25,140.38,Sakigake
478,Yulara,AU,64.24,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
479,Duayaw Nkwanta,GH,70.79,broken clouds,7.17,-2.1,Royal Land Hotel
480,Abu Dhabi,AE,84.18,clear sky,24.47,54.37,Mourouj Hotel Apartments
